ID,Name
1,225 N. Loomis House
2,Kimmel Residence Hall
3,Larrance Academic Center
4,Kiekhofer Hall and Koten Chapel
5,Seybert Residence Hall
6,Oesterle Library 
7,Goldspohn Hall
8,Kroehler Science Center
9,Rolland Center Boilerhouse Café
10,Old Main
11,Peter and Paul Hall
12,Carnegie Hall 
13,Harold and Eva White Activities Center 
